Distance,Battery,Motor
124.3695647,0.177911936,5.958596715
98.74481423,0.151289274,3.450283416
118.6068926,0.169458333,6.040669018
139.1691444,0.19466337,7.932766655
124.1297104,0.169778644,11.98817035
88.75158806,0.128741982,5.173656346
513.7494243,0.696746075,14.91988995
159.8533029,0.23219535,5.108796898
431.2646978,0.587922585,12.97604342
341.8837801,0.487733594,6.142854489
412.5000859,0.560500288,14.13961086
429.8516292,0.591282753,10.60174264
537.5710552,0.735121739,12.04185271
568.2144452,0.775748539,12.5196816
127.3239946,0.180428449,6.649302607
495.5420008,0.673597573,13.99121022
212.7624789,0.288951613,14.34014078
485.4829761,0.668751801,10.30626469
192.3821103,0.259537682,17.6126244
252.9793955,0.340482708,19.17014348
574.1735264,0.774789423,17.46785021
92.66447119,0.124894702,18.1958295
528.8130614,0.719376209,13.70593394
288.6912997,0.389630549,17.36057429
506.8387108,0.683563525,17.7908758
226.2845981,0.30620532,15.9473731
485.0350837,0.695784592,5.782155457
141.0882275,0.204089429,5.313290474
167.1710996,0.254403818,3.594555515
333.4122532,0.541964796,2.573950979
374.3914185,0.526366991,7.371458964
127.339351,0.212940338,2.30554763
128.7903559,0.193855699,3.859329664
438.7001672,0.596407782,13.94298637
77.34092408,0.10651354,10.35108356
155.7041055,0.216265357,8.866733728
437.2593287,0.596985711,12.50845206
165.6631056,0.229572002,9.221628292
571.9242318,0.790214784,9.726947859
371.6046483,0.503798337,15.06816525
208.4384336,0.293191943,7.322276464
313.0094948,0.521585944,2.33539156
252.5022789,0.36105259,5.98667865
307.1110664,0.4258115,9.137352158
253.3624297,0.379289487,4.007067336
404.8120709,0.610068582,3.827830923
176.8476288,0.246502139,8.370726263
346.7825596,0.470358469,14.87177391
149.5129763,0.201118288,19.57096837
105.9351191,0.149209469,7.190320471
216.8053275,0.291860284,19.01402946
546.0793564,0.742469228,13.90221119
411.1972023,0.555369198,16.9481335
267.3455227,0.361919525,15.74351836
570.1337408,0.783194099,10.89918999
156.7285834,0.21958422,7.74355045
321.7145326,0.441075192,11.36444284
378.137249,0.602144047,2.818155368
287.5704151,0.395151992,10.8328964
341.2186466,0.479724295,7.372349812
117.7077138,0.158640755,18.22702287
450.1266592,0.614122978,12.72342523
472.0517451,0.654713584,9.086624508
215.2374609,0.291676988,15.26485807
431.7693584,0.59154074,11.5437316
435.1212592,0.613663857,7.067144698
437.5084252,0.604540178,9.713648853
210.3154206,0.303930739,5.364202677
73.72820383,0.103036345,8.039033097
220.8381261,0.298410082,16.68457247
290.7306791,0.421631107,5.185118719
530.0063554,0.722791489,12.86056038
119.75332,0.163825749,11.93286092
138.2096975,0.18961659,11.19809227
324.7193828,0.452135239,8.513718711
423.4602085,0.578024034,12.5723657
85.7470667,0.134569586,3.024762972
432.01791,0.586889284,14.22696789
385.1848239,0.646993753,2.268938894
482.2170532,0.707173404,4.695356263
211.8670726,0.288337106,13.55439126
218.9496159,0.296781128,15.15338676
355.395663,0.519588623,4.820477611
456.2679168,0.617069694,16.22960331
175.9845973,0.237504876,17.38962575
480.3611624,0.653387597,13.7486586
249.8272238,0.336153816,19.35665284
583.6814019,0.785014104,19.69437723
381.2436421,0.513022624,19.29673102
505.1052828,0.692183683,11.48124914
143.8943261,0.193572681,19.52326002
170.7517224,0.230040315,18.48609815
404.8469695,0.573631546,6.659267376
412.1055452,0.557024498,16.52828839
202.0444753,0.27390037,15.09862291
390.2248101,0.570591985,4.814391391
437.4716746,0.592725891,15.3490415
170.3213039,0.233206079,11.70025835
503.4850784,0.685902053,13.20517155
269.8415995,0.418076786,3.237095753
399.851562,0.537942966,19.45987559
554.043908,0.761986638,10.63824359
332.7976437,0.506594561,3.588503301
341.0022188,0.464333896,13.36401457
232.1376682,0.344406076,4.279205734
88.03538511,0.122580758,8.512176485
202.6323463,0.32598086,2.690902446
117.822808,0.164577603,8.099870147
93.1273569,0.127936996,10.88547519
174.906274,0.240327898,10.84386374
308.4407654,0.424136804,10.67275477
496.2066589,0.710299566,5.915611501
336.5029524,0.456920262,14.41257457
540.1619107,0.757843535,7.590452661
439.4329792,0.633175342,5.52245307
375.828852,0.544367731,5.246480682
444.9372697,0.624477149,7.55031926
243.430403,0.47587796,1.512226466
479.3053599,0.672642388,7.56161378
405.5669072,0.574558621,6.672627306
492.1951127,0.688115717,7.992410215
422.0238302,0.571621827,15.48955484
508.413847,0.714547661,7.406509154
352.6654571,0.477408366,15.75683884
461.5770733,0.641142179,8.858774542
130.80104,0.184451667,7.077644769
145.9662591,0.198451159,13.92078758
314.6754594,0.461517075,4.691575077
97.71179303,0.15888578,2.570288682
336.2134528,0.492853091,4.711901675
442.1931372,0.597755357,16.47258457
543.8795828,0.798347425,4.658694722
96.08725736,0.132023566,10.85068199
533.7109733,0.768597583,5.553215422
543.8391838,0.774389267,6.27650291
238.9371441,0.321477744,19.40916922
144.7521526,0.219052337,3.72498391
288.8410556,0.394418502,12.45762284
405.448951,0.602131452,4.247306432
254.1306334,0.349493028,10.64906197
292.1372138,0.396893835,14.19720031
80.93702243,0.110037379,13.92783011
405.9932819,0.548935411,16.36274428
504.1415304,0.69500062,10.14907795
420.4559453,0.58518872,8.57239226
251.9245341,0.355979535,6.892697963
245.4109253,0.337930874,10.38015206
270.2278825,0.365661679,15.95699633
551.2326632,0.751704109,12.87525464
93.84514502,0.175804999,1.659227843
463.8649745,0.628504747,15.33533441
377.2203067,0.511527324,14.96919671
491.1963255,0.671126161,12.28738224
78.83067871,0.108417913,10.63694374
71.9625434,0.101181346,7.364162449
207.6030084,0.282538594,13.54861239
357.8583927,0.484789356,15.41474701
438.4006992,0.595923071,13.99215496
310.7575964,0.420430836,16.04469054
518.3286669,0.705873198,13.32575523
468.8941005,0.637131729,14.13723246
103.119972,0.143378972,8.713195156
271.4945629,0.369105557,13.93091352
423.7891209,0.576192138,13.90667028
118.7461678,0.162006464,12.72908728
499.1402217,0.67675168,15.03658785
276.88958,0.400237217,5.351283533
284.0849935,0.389894955,11.10936841
543.5591193,0.775907687,6.101618666
359.1408837,0.518418029,5.42380086
504.664656,0.681310161,17.19617834
106.7718811,0.152771319,5.944500142
235.1396535,0.342799014,4.942485779
186.7679362,0.252683802,16.04206725
320.2300792,0.442129333,9.861378207
521.1885832,0.717809084,10.34232603
235.5801603,0.32203543,12.14454714
444.4343203,0.599854798,17.33457473
237.3784261,0.349966347,4.495159225
273.3756349,0.382915048,7.772261775
547.5217286,0.779881391,6.25339575
367.9647295,0.511741538,8.679646674
228.8818417,0.308376481,18.4384994
335.3575465,0.574124613,2.126410771
192.5776625,0.268616608,8.27872483
224.6278794,0.303513583,16.71579517
510.9137214,0.694413701,14.03439063
479.6872473,0.647352828,17.41000856
216.789933,0.296483548,12.01742378
153.6560387,0.213075137,9.115068769
224.9158553,0.306875659,12.70780056
117.9819646,0.162302996,10.58479883
233.1664481,0.314097059,18.5494068
294.5894329,0.410456143,8.423414122
375.3963753,0.520007397,9.286676135
478.4991537,0.665333043,8.708155175
150.1426061,0.202179986,18.80616899
515.475771,0.712145458,9.746157095
562.8031908,0.768247377,12.56448028
172.9223704,0.272638726,2.955587043
96.34069799,0.129922623,17.83952149
268.0682177,0.361200229,18.38851315
349.8933177,0.480430862,11.00364921
344.4790864,0.502691967,4.899688939
291.2626004,0.400184954,10.85568268
102.3564929,0.138134718,17.40378686
360.7396858,0.489107683,15.0327623
476.784886,0.655229572,10.80655038
441.6757813,0.629333444,6.228541434
264.612639,0.357076972,17.45314668
142.1612909,0.194452751,11.97201225
402.4659277,0.576060479,5.921542907
261.4974073,0.351919566,19.22637065
113.1356676,0.153144088,15.78624596
341.3308491,0.465397327,12.92230431
279.9990382,0.506506818,1.809346403
311.1850862,0.572756453,1.731102257
238.4698255,0.356263543,4.065861064
302.0772305,0.442802547,4.712845219
189.4964403,0.257254997,14.4953469
328.7901574,0.444560322,16.35136585
293.2397144,0.40794783,8.634799142
535.0977796,0.793663387,4.288349968
84.94682053,0.114589011,17.6683892
524.876406,0.747405605,6.274748202
106.5617402,0.143464571,18.9518924
487.7650825,0.670631892,10.70330788
567.029775,0.767591685,15.75984531
434.1074855,0.615974488,6.543201734
197.6920848,0.267809511,15.42022619
565.4965674,0.785056851,8.941376313
290.2577822,0.391981167,17.01321896
112.9728047,0.198155984,1.971935282
333.1931234,0.474910543,6.205769878
350.879393,0.473458751,17.49012152
111.4669754,0.159263639,6.037975033
369.8760872,0.499980942,16.4899758
157.204905,0.229105458,4.957187786
499.6366342,0.719117467,5.585502361
294.1962522,0.420347438,6.037843315
293.431135,0.396580055,16.57885673
207.7676709,0.313137865,3.82592263
380.6512953,0.586192499,3.34912712
502.8680039,0.680586656,15.8661544
227.9546476,0.307151048,18.3872053
309.046976,0.550647284,1.885092701
467.0067187,0.633757571,14.64961537
124.2820395,0.174031537,7.804555063
511.4286432,0.746301646,4.90065931
302.5588643,0.417627926,9.907503121
99.35774547,0.136903975,10.24894979
72.927737,0.101383602,8.735653093
206.0540634,0.325569179,2.924863574
541.1098209,0.735338974,14.09484585
157.1093418,0.274522107,1.994505267
563.7725292,0.773612503,11.15300011
566.766242,0.766408493,16.29828884
191.2427358,0.257655778,18.46141796
132.8193266,0.186666072,7.408808066
136.3139237,0.183533522,18.90059724
125.647964,0.182884572,5.013825741
489.3378001,0.683926433,8.026770194
440.9380073,0.634561818,5.591967319
364.9082537,0.492102106,17.84446042
311.6816536,0.419821554,18.61826088
95.24165446,0.129453187,14.02114184
528.5244641,0.721993444,12.34179571
206.7914199,0.299757063,5.208240682
250.9620013,0.409598265,2.531276563
72.53702535,0.103316903,6.255985355
512.5281841,0.706572302,10.1462989
95.2017914,0.133341948,7.777741319
408.0891659,0.576453932,6.922376517
205.659742,0.351553289,2.13697278
579.7855718,0.786267383,14.94013397
362.427798,0.492948526,13.76799262
502.1882906,0.682014533,14.34292468
200.9373757,0.27344614,13.57569233
331.0697631,0.449560333,14.39689995
535.1669867,0.733971835,11.2805299
106.9738153,0.151919561,6.476138928
262.8080378,0.357552955,13.6660303
468.5240974,0.634561878,15.52159009
399.4749473,0.540455646,16.04734011
535.164068,0.722506906,17.17883531
408.2806001,0.566361003,9.060422466
498.0085441,0.671758457,17.69576669
384.8632428,0.518256777,18.79926038
384.0130377,0.519789792,15.80737452
231.6475921,0.364569259,2.982172265
368.617906,0.505989781,11.07352679
519.8914994,0.719962879,9.332959133
205.8636671,0.277638069,17.80481158
149.3096714,0.20280404,14.28659566
360.8941799,0.547639098,3.660017197
513.9111584,0.693207927,17.69699924
340.2757919,0.458479728,18.40922633
